feature,importance
cat__Surname_Radcliffe-Brown,0.0002333858561899782
cat__Surname_Brookes,0.00023327755385523934
cat__Surname_Fadden,0.00023290532621183106
cat__Surname_Steele,0.00023272871801855208
cat__Surname_Jenkins,0.0002321938189636002
cat__Surname_Andrejew,0.00023176110130340854
cat__Surname_Gibbons,0.00023162031549521481
cat__Surname_George,0.0002309849249054801
cat__Surname_Udokamma,0.00023078823493924343
cat__Surname_Norton,0.00022989136866455133
cat__Surname_Bradshaw,0.0002294579326141303
cat__Surname_Conti,0.00022840066231046618
cat__Surname_Azuka,0.0002280339257404705
cat__Surname_Payne,0.0002279155186340838
cat__Surname_Kuo,0.00022734896761590178
cat__Surname_Laura,0.00022690566555918804
cat__Surname_Boni,0.00022665276918841398
cat__Surname_Middleton,0.00022638585516824162
cat__Surname_Russo,0.00022614911023685998
cat__Surname_Webb,0.00022581774527295924
cat__Surname_Donnelly,0.0002258095368410444
cat__Surname_Moyes,0.00022543672533167425
cat__Surname_Aliyeva,0.0002253397035476162
cat__Surname_Lucchese,0.0002247969405226474
cat__Surname_K?,0.0002246340522384746
cat__Surname_Stewart,0.00022385515283280947
cat__Surname_Belov,0.00022358057608738493
cat__Surname_Eberechukwu,0.00022332618582495502
cat__Surname_Aldrich,0.00022299037508287782
cat__Surname_Gether,0.00022261993647334051
cat__Surname_Capon,0.0002217605956411926
cat__Surname_Seleznyov,0.0002214469782856235
cat__Surname_Enderby,0.00022137504264654423
cat__Surname_She,0.00022083866299126646
cat__Surname_Colombo,0.0002204556881356061
cat__Surname_Lynch,0.0002202070678124088
cat__Surname_Ugoji,0.00022019959020245147
cat__Surname_Chimaraoke,0.00022010454552060297
cat__Surname_Morrison,0.0002194687472002472
cat__Surname_Hamilton,0.00021863611795025313
cat__Surname_Nikitina,0.00021842991642721975
cat__Surname_Brooks,0.00021834640574911856
cat__Surname_Hackett,0.00021821651792545404
cat__Surname_McCardle,0.0002180197321432134
cat__Surname_Ukaegbunam,0.0002177614817749292
cat__Surname_Bentley,0.00021761381703990426
cat__Surname_Lewis,0.00021750519790830072
cat__Surname_Baxter,0.00021655548240412742
cat__Surname_Stelzer,0.00021633804540117232
cat__Surname_Chiazagomekpere,0.00021544889665155335
cat__Surname_McCartney,0.00021521861287769725
cat__Surname_Young,0.00021504005860939674
cat__Surname_Onyekachi,0.00021481750952411353
cat__Surname_Sinclair,0.00021476687596454268
cat__Surname_Ampt,0.00021423750523938924
cat__Surname_Norman,0.00021419137426589754
cat__Surname_Marsden,0.00021386075343393394
cat__Surname_Townsend,0.00021367353985219734
cat__Surname_Bradley,0.00021271666523221618
cat__Surname_P'an,0.0002115951077018114
cat__Surname_Nwankwo,0.00021132453231214964
cat__Surname_Chidiebere,0.00021127732730780215
cat__Surname_Lyons,0.0002105682509031141
cat__Surname_Barese,0.00021056700317358937
cat__Surname_Ugochukwu,0.00021008805246432651
cat__Surname_Levi,0.00020915670532891333
cat__Surname_Agafonova,0.00020875138007121394
cat__Surname_Price,0.0002083710519601737
cat__Surname_Gill,0.0002080035799029225
cat__Surname_Kovalyov,0.00020779407261288556
cat__Surname_Osonduagwuike,0.00020605798837295758
cat__Surname_Wanliss,0.0002055335748992014
cat__Surname_Russell,0.00020509721607146267
cat__Surname_French,0.0002034219030730125
cat__Surname_Dickson,0.00020229316440416567
cat__Surname_John,0.00020188245001438068
cat__Surname_Fielding,0.00020146459012493367
cat__Surname_Onyekachukwu,0.00020127537903659635
cat__Surname_Okagbue,0.00020117073940976695
cat__Surname_Ozoemena,0.00020102881925698377
cat__Surname_Kozlova,0.00020044276324017031
cat__Surname_Harris,0.00020038279889663237
cat__Surname_Yang,0.00020024296879436228
cat__Surname_Morgan,0.00019998874905645086
cat__Surname_Hou,0.00019957568582558598
cat__Surname_Nickson,0.00019907184381935862
cat__Surname_Brenan,0.00019898467717068422
cat__Surname_Sorenson,0.00019824851800878966
cat__Surname_Bergman,0.00019804091784303657
cat__Surname_Trouette,0.00019789279031266725
cat__Surname_Ritchie,0.00019787207209991825
cat__Surname_Hsiung,0.00019752553950046588
cat__Surname_Kaodilinakachukwu,0.00019751884413427812
cat__Surname_Nwokeocha,0.0001974746931312584
cat__Surname_Ajuluchukwu,0.00019719074676058918
cat__Surname_Savage,0.00019705894398982292
cat__Surname_Ebelechukwu,0.00019701629819057968
cat__Surname_Sullivan,0.00019684129177475256
cat__Surname_Perreault,0.00019602002102127704
cat__Surname_Kang,0.00019582259109131092
cat__Surname_Chukwuebuka,0.00019559153842586043
cat__Surname_Bovee,0.00019503822460521485
cat__Surname_Landry,0.00019445237564140257
cat__Surname_Saunders,0.00019438350068073573
cat__Surname_Randall,0.00019373932321097327
cat__Surname_Hornung,0.00019357270732348674
cat__Surname_Collingridge de Tourcey,0.00019328049871257763
cat__Surname_Whittaker,0.00019301508205557245
cat__Surname_Bottrill,0.0001930013240436792
